model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.0015,0.1,3,5,0.911228660006854,0.8646275341917291
LSPIN,lspin_tf,0.0015,0.1,3,6,0.9721376955547606,0.9418319370882782
LSPIN,lspin_tf,0.0015,0.1,3,7,0.9724630703436468,0.9415680565224908
LSPIN,lspin_tf,0.0015,0.1,3,8,0.9009283750778064,0.8564417040481023
LSPIN,lspin_tf,0.0015,0.1,3,9,0.9648507980410994,0.9375974624707016
LSPIN,lspin_tf,0.0015,0.1,4,5,0.9039864360253588,0.8636792080465197
LSPIN,lspin_tf,0.0015,0.1,4,6,0.9616936980667228,0.9279693887144406
LSPIN,lspin_tf,0.0015,0.1,4,7,0.9830423721485074,0.9574360925161036
LSPIN,lspin_tf,0.0015,0.1,4,8,0.9116401231824148,0.8780505558487015
LSPIN,lspin_tf,0.0015,0.1,4,9,0.9753157075105618,0.9534409254832432
LSPIN,lspin_tf,0.0015,0.1,5,6,0.9201488150561224,0.8640332789263693
LSPIN,lspin_tf,0.0015,0.1,5,7,0.8906764970957314,0.8513144904811677
LSPIN,lspin_tf,0.0015,0.1,5,8,0.8203756867808125,0.7851306059360099
LSPIN,lspin_tf,0.0015,0.1,5,9,0.9102474464720716,0.8779782830197485
LSPIN,lspin_tf,0.0015,0.1,6,7,0.9576611554257416,0.9360361724461004
LSPIN,lspin_tf,0.0015,0.1,6,8,0.8859657566309985,0.8481874013290869
LSPIN,lspin_tf,0.0015,0.1,6,9,0.9554786624740472,0.9133024936200592
LSPIN,lspin_tf,0.0015,0.1,7,8,0.907270509146864,0.8764849570502885
LSPIN,lspin_tf,0.0015,0.1,7,9,0.9796087176848012,0.9547378343334813
LSPIN,lspin_tf,0.0015,0.1,8,9,0.8877539472585592,0.8432910811245502
LSPIN,lspin_tf,0.001,0.1,0,1,0.951636751707045,0.9196518961025456
LSPIN,lspin_tf,0.001,0.1,0,2,0.979545740785292,0.9546455523027172
LSPIN,lspin_tf,0.001,0.1,0,3,0.9655857105772244,0.9357084011890306
LSPIN,lspin_tf,0.001,0.1,0,4,0.9350576251577633,0.8900429945922816
LSPIN,lspin_tf,0.001,0.1,0,5,0.9327037697593864,0.8777102474545814
LSPIN,lspin_tf,0.001,0.1,0,6,0.951636751707045,0.9196518961025456
LSPIN,lspin_tf,0.001,0.1,0,7,0.9717612467343754,0.9564656886218762
LSPIN,lspin_tf,0.001,0.1,0,8,0.9795606421839472,0.9545353345292636
LSPIN,lspin_tf,0.001,0.1,0,9,0.955690591595951,0.9132374248462084
LSPIN,lspin_tf,0.001,0.1,1,2,0.9718414630227926,0.9568420018734396
LSPIN,lspin_tf,0.001,0.1,1,3,0.9306013838704644,0.911484689215563
LSPIN,lspin_tf,0.001,0.1,1,4,0.9531793539832536,0.9041113060722012
LSPIN,lspin_tf,0.001,0.1,1,5,0.9516687571734715,0.9009376038385956
LSPIN,lspin_tf,0.001,0.1,1,6,1.0,1.0
LSPIN,lspin_tf,0.001,0.1,1,7,0.9793938397672218,0.9548008192323088
LSPIN,lspin_tf,0.001,0.1,1,8,0.944214600771102,0.9254238865459812
LSPIN,lspin_tf,0.001,0.1,1,9,0.9440429104689438,0.8756226570910376
LSPIN,lspin_tf,0.001,0.1,2,3,0.958025864900115,0.9401753077904684
LSPIN,lspin_tf,0.001,0.1,2,4,0.9451099323785392,0.901400546547234
LSPIN,lspin_tf,0.001,0.1,2,5,0.942874388291713,0.8901730366175282
LSPIN,lspin_tf,0.001,0.1,2,6,0.9718414630227926,0.95684200187344
LSPIN,lspin_tf,0.001,0.1,2,7,0.9794093845764216,0.9546980364252704
LSPIN,lspin_tf,0.001,0.1,2,8,0.971884982523249,0.9566639721689736
