model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
Concrete,concrete,0.1,0.0025,0.0,480128,5,0.6824067022086824,0.7610872675250357,1,282.8648681640625,0.9850603752445724,940.0,707.0,630.5973923320305
Concrete,concrete,0.1,0.0025,0.0,480129,6,0.7321020563594821,0.7718168812589413,1,283.5752868652344,0.9753323158648832,936.0,659.0,595.5969430993914
Concrete,concrete,0.1,0.0025,0.0,480130,7,0.7033511043412034,0.7410586552217453,1,339.5752868652344,0.9818419125208856,1043.0,805.0,713.326097313165
Concrete,concrete,0.1,0.0025,0.0,480131,8,0.7447638994668697,0.7689556509298998,1,284.4092712402344,0.98936014739473,1031.0,784.0,683.0420906876283
Concrete,concrete,0.1,0.0025,0.0,480132,9,0.6896420411271896,0.7761087267525035,1,359.8996276855469,0.9874582970936506,1102.0,838.0,753.6673575734966
Concrete,concrete,0.1,0.0012,0.0,520123,0,0.7060167555217061,0.8047210300429185,1,803.62548828125,0.9944888201662868,2081.0,1714.0,1473.1393013680658
Concrete,concrete,0.1,0.0012,0.0,520124,1,0.6374714394516374,0.7811158798283262,1,890.0115966796875,0.9960306593934836,2139.0,1813.0,1607.2999049368534
Concrete,concrete,0.1,0.0012,0.0,520125,2,0.6571782178217822,0.7982832618025751,1,916.2432250976562,0.99531595054908,2187.0,1866.0,1609.0103044737984
Concrete,concrete,0.1,0.0012,0.0,520126,3,0.7235338918507236,0.8032904148783977,1,642.9189453125,0.9952156869472392,1725.0,1438.0,1238.514960608103
Concrete,concrete,0.1,0.0012,0.0,520127,4,0.7158225437928408,0.7932761087267525,2,865.602294921875,0.9949309652911388,1896.0,1684.0,1502.846995213211
Concrete,concrete,0.1,0.0012,0.0,520128,5,0.7062071591774562,0.8097281831187411,4,733.7838134765625,0.9936722596435744,1674.0,1500.0,1300.787143328743
Concrete,concrete,0.1,0.0012,0.0,520129,6,0.7196306169078446,0.7796852646638054,1,826.2664184570312,0.994276632055869,2025.0,1718.0,1489.494792215422
Concrete,concrete,0.1,0.0012,0.0,520130,7,0.7402894135567403,0.778969957081545,2,764.12353515625,0.9956165481550404,1704.0,1476.0,1322.885683190803
Concrete,concrete,0.1,0.0012,0.0,520131,8,0.7314356435643564,0.7732474964234621,1,738.4942016601562,0.9943100700388492,1978.0,1659.0,1403.3946528234528
Concrete,concrete,0.1,0.0012,0.0,520132,9,0.7104912414318355,0.8197424892703863,1,798.8301391601562,0.9952670153372316,1988.0,1641.0,1438.3297999762497
Concrete,concrete,0.1,0.0006,0.0,560123,0,0.7018754760091394,0.7775393419170243,6,1851.87255859375,0.998027480037764,3071.0,2902.0,2627.736426154961
Concrete,concrete,0.1,0.0006,0.0,560124,1,0.5292269611576542,0.7292560801144492,3,1217.2972412109375,0.9966920592337624,2584.0,2291.0,2023.5383288482449
Concrete,concrete,0.1,0.0006,0.0,560125,2,0.645087585681645,0.8226037195994278,1,1611.3204345703125,0.9981510988356662,3205.0,2862.0,2521.1280624565816
Concrete,concrete,0.1,0.0006,0.0,560126,3,0.5099485910129474,0.759656652360515,4,861.768310546875,0.9926895928514702,2113.0,1738.0,1476.26618477183
Concrete,concrete,0.1,0.0006,0.0,560127,4,0.6512757044935262,0.7889842632331903,1,1529.3050537109375,0.998193301797354,3210.0,2862.0,2500.2556945403608
Concrete,concrete,0.1,0.0006,0.0,560128,5,0.7027798933739527,0.7643061516452074,10,1398.8416748046875,0.9972854314619208,2505.0,2284.0,2064.4003234417123
Concrete,concrete,0.1,0.0006,0.0,560129,6,0.5196115765422696,0.7954220314735336,1,1523.436279296875,0.99761929046366,3054.0,2683.0,2390.224419597804
Concrete,concrete,0.1,0.0006,0.0,560130,7,0.6992574257425742,0.8097281831187411,1,1350.8455810546875,0.9965498948092254,2885.0,2461.0,2177.1445720678616
Concrete,concrete,0.1,0.0006,0.0,560131,8,0.7087776085300838,0.7660944206008584,3,1500.0308837890625,0.9978089912010532,2939.0,2727.0,2361.5286371234047
Concrete,concrete,0.1,0.0006,0.0,560132,9,0.7186785986290937,0.8090128755364807,2,1336.8880615234375,0.9974525411881878,2722.0,2482.0,2165.1976368323544
Concrete,concrete,0.1,0.0017,0.05,600123,0,0.7158225437928408,0.7703862660944206,2,597.0038452148438,0.985300525415164,1122.0,1074.0,971.3340759196188
Concrete,concrete,0.1,0.0017,0.05,600124,1,0.6771706016755522,0.7875536480686696,1,712.5057983398438,0.9902943309535878,1365.0,1288.0,1169.2223878333605
Concrete,concrete,0.1,0.0017,0.05,600125,2,0.6932597105864433,0.7804005722460658,1,536.1004028320312,0.9891673596609968,1104.0,1016.0,913.7748528552772
Concrete,concrete,0.1,0.0017,0.05,600126,3,0.7251523229246002,0.7753934191702432,1,518.71044921875,0.9921588456615,1084.0,993.0,902.0326329963638
Concrete,concrete,0.1,0.0017,0.05,600127,4,0.698019801980198,0.7753934191702432,1,717.4053955078125,0.9937837990176466,1444.0,1347.0,1231.5989339698551
Concrete,concrete,0.1,0.0017,0.05,600128,5,0.7065879664889566,0.7703862660944206,1,537.1814575195312,0.9921174829644334,1067.0,1003.0,915.9073827475156
Concrete,concrete,0.1,0.0017,0.05,600129,6,0.7003046458492003,0.8075822603719599,0,523.8301391601562,0.9922104634388148,1479.0,1142.0,999.9641638892532
Concrete,concrete,0.1,0.0017,0.05,600130,7,0.712966488956588,0.7861230329041488,1,606.3243408203125,0.99179933731257,1201.0,1112.0,1008.865866048742
Concrete,concrete,0.1,0.0017,0.05,600131,8,0.7108720487433359,0.7868383404864091,1,651.4208374023438,0.9945564955282808,1282.0,1210.0,1078.3631738013505
Concrete,concrete,0.1,0.0017,0.05,600132,9,0.6741241431835491,0.7825464949928469,1,654.3861083984375,0.9930755979311202,1243.0,1155.0,1057.7294348528048
Concrete,concrete,0.1,0.00085,0.05,640123,0,0.7034463061690784,0.7889842632331903,0,918.8919067382812,0.9855351179533892,2191.0,1822.0,1591.1433645130492
Concrete,concrete,0.1,0.00085,0.05,640124,1,0.7086824067022087,0.7954220314735336,2,1378.8802490234375,0.9971030138394468,2223.0,2183.0,1987.057072736501
Concrete,concrete,0.1,0.00085,0.05,640125,2,0.710967250571211,0.7668097281831188,1,1073.46337890625,0.996218459862696,1950.0,1865.0,1684.707171141643
Concrete,concrete,0.1,0.00085,0.05,640126,3,0.6891660319878141,0.8011444921316166,2,1397.602294921875,0.9966541055403632,2289.0,2260.0,2032.6282909471577
Concrete,concrete,0.1,0.00085,0.05,640127,4,0.5221820258948972,0.6895565092989986,22,1295.980712890625,0.9933073256551804,2181.0,2178.0,2005.6007596445008
Concrete,concrete,0.1,0.00085,0.05,640128,5,0.6603198781416603,0.8025751072961373,1,1195.810791015625,0.9963202937689318,2197.0,2141.0,1865.5703985378295
Concrete,concrete,0.1,0.00085,0.05,640129,6,0.701494668697639,0.7854077253218884,4,1254.6563720703125,0.9970062251043164,2094.0,2075.0,1884.25994042256
Concrete,concrete,0.1,0.00085,0.05,640130,7,0.6893564356435643,0.7896995708154506,2,1412.9227294921875,0.9973749277559616,2275.0,2252.0,2061.000875290616
Concrete,concrete,0.1,0.00085,0.05,640131,8,0.5147086824067022,0.724964234620887,5,1387.2239990234375,0.99710735073779,2208.0,2199.0,1993.004242792273
Concrete,concrete,0.1,0.00085,0.05,640132,9,0.7126808834729627,0.772889842632332,2,1217.37451171875,0.9973303669475428,2043.0,2010.0,1822.9601479612304
Concrete,concrete,0.1,0.0017,0.1,680123,0,0.688023610053313,0.8011444921316166,1,501.3976745605469,0.9849188706458696,935.0,895.0,821.837528252159
Concrete,concrete,0.1,0.0017,0.1,680124,1,0.713061690784463,0.7804005722460658,1,605.2625732421875,0.985480103540567,1114.0,1080.0,1000.095875420291
Concrete,concrete,0.1,0.0017,0.1,680125,2,0.7231530845392231,0.771101573676681,1,678.1737670898438,0.9927289188734242,1239.0,1181.0,1094.008132824422
Concrete,concrete,0.1,0.0017,0.1,680126,3,0.6885948210205636,0.7875536480686696,1,623.1583251953125,0.9929115654445544,1284.0,1186.0,1057.7880390896764
Concrete,concrete,0.1,0.0017,0.1,680127,4,0.7147753236862148,0.8075822603719599,1,597.8378295898438,0.992534844185781,1164.0,1111.0,1005.7617745718416
Concrete,concrete,0.1,0.0017,0.1,680128,5,0.690974866717441,0.7854077253218884,1,626.6177368164062,0.9931677210689565,1154.0,1106.0,1019.5666642213816
Concrete,concrete,0.1,0.0017,0.1,680129,6,0.7123952779893374,0.7761087267525035,1,481.0965270996094,0.9895766078504168,1008.0,927.0,830.1638729198438
Concrete,concrete,0.1,0.0017,0.1,680130,7,0.7054455445544554,0.8133047210300429,1,692.20849609375,0.9938075056125788,1286.0,1217.0,1124.3639315992746
Concrete,concrete,0.1,0.0017,0.1,680131,8,0.6911652703731912,0.7972103004291845,1,584.1119995117188,0.990739614069246,1141.0,1071.0,981.690535777975
Concrete,concrete,0.1,0.0017,0.1,680132,9,0.7256283320639756,0.765379113018598,1,436.8919067382813,0.987328839915603,863.0,824.0,758.0807937732012
Concrete,concrete,0.1,0.00085,0.1,720123,0,0.5425552170601675,0.7521459227467812,63,1387.5521240234375,0.9958948548763216,2281.0,2277.0,2038.5777661738696
