model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
L-Concrete,concrete,linear,0.00275,0.4,6,7,220,0.7643963347635019,3.055933484504913,0.4482758620689655,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.0066,0.4,0,1,224,0.5781232266307367,2.3507180650037798,0.3125,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.4,0,2,224,0.5341800394122351,2.1156462585034013,0.2727272727272727,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.4,0,3,224,0.5030352425044237,2.1940035273368608,0.2857142857142857,1.802217183169564,0.2233009708737864
L-Concrete,concrete,linear,0.0066,0.4,0,4,224,0.5722712466027547,2.1940035273368608,0.2857142857142857,2.5857898715041574,0.3548387096774194
L-Concrete,concrete,linear,0.0066,0.4,0,5,224,0.6008394154726381,2.429075333837239,0.3263157894736842,2.429075333837239,0.3263157894736842
L-Concrete,concrete,linear,0.0066,0.4,0,6,224,0.5591849477098452,2.3507180650037798,0.3125,1.958931720836483,0.2475247524752475
L-Concrete,concrete,linear,0.0066,0.4,0,7,224,0.589675673180757,2.6641471403376165,0.3695652173913043,2.1156462585034013,0.2727272727272727
L-Concrete,concrete,linear,0.0066,0.4,1,2,224,0.6565545970404311,2.507432602670698,0.3404255319148936,2.8208616780045355,0.4
L-Concrete,concrete,linear,0.0066,0.4,1,3,224,0.5794861849746934,2.8992189468379945,0.4157303370786517,2.3507180650037798,0.3125
L-Concrete,concrete,linear,0.0066,0.4,1,4,224,0.6394871363727911,2.6641471403376165,0.3695652173913043,2.742504409171076,0.3846153846153846
L-Concrete,concrete,linear,0.0066,0.4,1,5,224,0.6355100695137812,2.3507180650037798,0.3125,2.3507180650037798,0.3125
