model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.005,0.0,0,7,0.20100463931871143,0.2806422001179743
LSPIN,lspin_tf,0.005,0.0,0,8,0.20888528518757798,0.2376204837231873
LSPIN,lspin_tf,0.005,0.0,0,9,0.3986219094933641,0.3495515856448582
LSPIN,lspin_tf,0.005,0.0,1,2,0.2727596656848016,0.2623600263204865
LSPIN,lspin_tf,0.005,0.0,1,3,0.2765530304141147,0.29577975805993156
LSPIN,lspin_tf,0.005,0.0,1,4,0.22988651240011276,0.25540579377637057
LSPIN,lspin_tf,0.005,0.0,1,5,0.21264906368369516,0.2830345684287748
LSPIN,lspin_tf,0.005,0.0,1,6,0.26578877454069155,0.2537767943204876
LSPIN,lspin_tf,0.005,0.0,1,7,0.42488154762998714,0.46325547702560654
LSPIN,lspin_tf,0.005,0.0,1,8,0.26203522783972316,0.2496672760950372
LSPIN,lspin_tf,0.005,0.0,1,9,0.19124863132614203,0.2111507186583688
LSPIN,lspin_tf,0.005,0.0,2,3,0.24959336313094754,0.2845909013610479
LSPIN,lspin_tf,0.005,0.0,2,4,0.6211208378329847,0.5763876585802151
LSPIN,lspin_tf,0.005,0.0,2,5,0.26323368019825216,0.295314276103628
LSPIN,lspin_tf,0.005,0.0,2,6,0.5042027093349779,0.4624083758375088
LSPIN,lspin_tf,0.005,0.0,2,7,0.2740544547288737,0.31946560344243335
LSPIN,lspin_tf,0.005,0.0,2,8,0.34507602083421185,0.33870359985469195
LSPIN,lspin_tf,0.005,0.0,2,9,0.5266426898182363,0.5070919922897039
LSPIN,lspin_tf,0.005,0.0,3,4,0.27541490385815026,0.30750696210445044
LSPIN,lspin_tf,0.005,0.0,3,5,0.4665739279393415,0.41182673809445813
LSPIN,lspin_tf,0.005,0.0,3,6,0.2324290232569799,0.2596625666289163
LSPIN,lspin_tf,0.005,0.0,3,7,0.48861147131409693,0.3921206836754162
LSPIN,lspin_tf,0.005,0.0,3,8,0.30016527223387857,0.3299099612388475
LSPIN,lspin_tf,0.005,0.0,3,9,0.2619606355297482,0.2735243534822222
LSPIN,lspin_tf,0.005,0.0,4,5,0.21565786918649113,0.24659548299457834
LSPIN,lspin_tf,0.005,0.0,4,6,0.38551274393093654,0.32905253612157076
LSPIN,lspin_tf,0.005,0.0,4,7,0.2780826062187455,0.30183485831495716
LSPIN,lspin_tf,0.005,0.0,4,8,0.3019075998408496,0.25353293042561026
LSPIN,lspin_tf,0.005,0.0,4,9,0.34477563980877585,0.3597572641503262
LSPIN,lspin_tf,0.005,0.0,5,6,0.21594980124375185,0.28184803678473935
LSPIN,lspin_tf,0.005,0.0,5,7,0.3892274675604166,0.37044690370898775
LSPIN,lspin_tf,0.005,0.0,5,8,0.18807686288353298,0.20782056309155944
LSPIN,lspin_tf,0.005,0.0,5,9,0.3391445984517986,0.30145170197413906
LSPIN,lspin_tf,0.005,0.0,6,7,0.33940298823590814,0.3591524756799029
LSPIN,lspin_tf,0.005,0.0,6,8,0.30832530762574595,0.29306794727049074
LSPIN,lspin_tf,0.005,0.0,6,9,0.45066404249941866,0.4753297334719754
LSPIN,lspin_tf,0.005,0.0,7,8,0.30988878575096784,0.29632192759611453
LSPIN,lspin_tf,0.005,0.0,7,9,0.2715401377573422,0.31866118284109446
LSPIN,lspin_tf,0.005,0.0,8,9,0.2250254028357567,0.2749089737157545
LSPIN,lspin_tf,0.004,0.0,0,1,0.1620952578786101,0.18908091538848049
LSPIN,lspin_tf,0.004,0.0,0,2,0.2646966553169178,0.2675066097502867
LSPIN,lspin_tf,0.004,0.0,0,3,0.2737601568986257,0.34324641320071
LSPIN,lspin_tf,0.004,0.0,0,4,0.1609433538279035,0.17989777537189663
