model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.0033,0.0,3,7,0.6628345688767513
LSPIN,lspin_tf,0.0033,0.0,3,8,0.7114000700832027
LSPIN,lspin_tf,0.0033,0.0,3,9,0.8216532727606152
LSPIN,lspin_tf,0.0033,0.0,4,5,0.6348590355380607
LSPIN,lspin_tf,0.0033,0.0,4,6,0.6962823578481498
LSPIN,lspin_tf,0.0033,0.0,4,7,0.7578386244952563
LSPIN,lspin_tf,0.0033,0.0,4,8,0.6737624084837384
LSPIN,lspin_tf,0.0033,0.0,4,9,0.757159070665679
LSPIN,lspin_tf,0.0033,0.0,5,6,0.6550027819818208
LSPIN,lspin_tf,0.0033,0.0,5,7,0.6486482999284338
LSPIN,lspin_tf,0.0033,0.0,5,8,0.5876685071777971
LSPIN,lspin_tf,0.0033,0.0,5,9,0.6623359548111535
LSPIN,lspin_tf,0.0033,0.0,6,7,0.7178211930431053
LSPIN,lspin_tf,0.0033,0.0,6,8,0.6168017330605714
