histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneyclearcellrenalcarcinoma,156,0.6390621639062164,LSPIN,mlp,0.0105,0.025,450124
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0105,0.025,450124
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.0105,0.025,450125
kidneyclearcellrenalcarcinoma,156,0.6885351688535168,LSPIN,mlp,0.0105,0.025,450125
kidneypapillaryrenalcellcarcinoma,84,0.7956989247311828,LSPIN,mlp,0.0105,0.025,450125
kidneychromophobe,19,0.7183098591549296,LSPIN,mlp,0.0105,0.025,450126
kidneyclearcellrenalcarcinoma,156,0.6719724671972467,LSPIN,mlp,0.0105,0.025,450126
kidneypapillaryrenalcellcarcinoma,84,0.783410138248848,LSPIN,mlp,0.0105,0.025,450126
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.025,450127
kidneyclearcellrenalcarcinoma,156,0.6745536674553667,LSPIN,mlp,0.0105,0.025,450127
kidneypapillaryrenalcellcarcinoma,84,0.7880184331797235,LSPIN,mlp,0.0105,0.025,450127
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,450128
kidneyclearcellrenalcarcinoma,156,0.6844482684448269,LSPIN,mlp,0.0105,0.025,450128
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.0105,0.025,450128
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,450129
