model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
Concrete,concrete,0.15,0.00275,0.4,0,1,0.8642911600167701
Concrete,concrete,0.15,0.00275,0.4,0,2,0.9197779528426284
Concrete,concrete,0.15,0.00275,0.4,1,2,0.8880997279290113
Concrete,concrete,0.15,0.0022,0.4,0,1,0.9381834718792916
Concrete,concrete,0.15,0.0022,0.4,0,2,0.8150085547070628
Concrete,concrete,0.15,0.0022,0.4,1,2,0.8094715436991156
Concrete,concrete,0.12,0.0055,0.4,0,1,0.7973694471104152
Concrete,concrete,0.12,0.0055,0.4,0,2,0.686399605849424
Concrete,concrete,0.12,0.0055,0.4,1,2,0.7105974860879226
Concrete,concrete,0.12,0.0044,0.4,0,1,0.8482895770632547
Concrete,concrete,0.12,0.0044,0.4,0,2,0.6658153480181834
Concrete,concrete,0.12,0.0044,0.4,1,2,0.7107321268594207
Concrete,concrete,0.12,0.0033,0.4,0,1,0.7085300609003142
Concrete,concrete,0.12,0.0033,0.4,0,2,0.6571908810619018
Concrete,concrete,0.12,0.0033,0.4,1,2,0.9104714506656982
Concrete,concrete,0.12,0.00275,0.4,0,1,0.9281284916660868
Concrete,concrete,0.12,0.00275,0.4,0,2,0.8516171105357917
Concrete,concrete,0.12,0.00275,0.4,1,2,0.9329271635797473
Concrete,concrete,0.12,0.0022,0.4,0,1,0.87413209592409
Concrete,concrete,0.12,0.0022,0.4,0,2,0.9004376258035622
Concrete,concrete,0.12,0.0022,0.4,1,2,0.8668693234499144
L-Concrete,concrete,0.15,0.0066,0.4,0,1,0.9379631202821418
L-Concrete,concrete,0.15,0.0066,0.4,0,2,0.9457155818367337
L-Concrete,concrete,0.15,0.0066,0.4,1,2,0.940036850468746
L-Concrete,concrete,0.15,0.0044,0.4,0,1,0.9670696291744972
L-Concrete,concrete,0.15,0.0044,0.4,0,2,0.9045713973564844
L-Concrete,concrete,0.15,0.0044,0.4,1,2,0.928153370842246
L-Concrete,concrete,0.15,0.0033,0.4,0,1,0.9054468462015018
L-Concrete,concrete,0.15,0.0033,0.4,0,2,0.9545514486017294
L-Concrete,concrete,0.15,0.0033,0.4,1,2,0.9563069577165352
L-Concrete,concrete,0.15,0.00275,0.4,0,1,0.8840406049429413
L-Concrete,concrete,0.15,0.00275,0.4,0,2,0.970978556195136
L-Concrete,concrete,0.15,0.00275,0.4,1,2,0.864037918742146
L-Concrete,concrete,0.15,0.00165,0.4,0,1,0.8608162781002473
L-Concrete,concrete,0.15,0.00165,0.4,0,2,0.9627059792993808
L-Concrete,concrete,0.15,0.00165,0.4,1,2,0.7335114252490178
L-Concrete,concrete,0.12,0.0066,0.4,0,1,0.9749215503792418
L-Concrete,concrete,0.12,0.0066,0.4,0,2,0.9709756677813588
L-Concrete,concrete,0.12,0.0066,0.4,1,2,0.9690818470010504
L-Concrete,concrete,0.12,0.0044,0.4,0,1,0.9511690725217042
L-Concrete,concrete,0.12,0.0044,0.4,0,2,0.9441909045927278
L-Concrete,concrete,0.12,0.0044,0.4,1,2,0.9642611061046336
L-Concrete,concrete,0.12,0.0033,0.4,0,1,0.9276070858042832
L-Concrete,concrete,0.12,0.0033,0.4,0,2,0.894977856343927
L-Concrete,concrete,0.12,0.0033,0.4,1,2,0.8251010687584645
L-Concrete,concrete,0.12,0.00275,0.4,0,1,0.6253841861982106
L-Concrete,concrete,0.12,0.00275,0.4,0,2,0.5857937477320521
L-Concrete,concrete,0.12,0.00275,0.4,1,2,0.933376620162096
L-Concrete,concrete,0.12,0.00165,0.4,0,1,0.4553536311697758
L-Concrete,concrete,0.12,0.00165,0.4,0,2,0.8860345479775107
L-Concrete,concrete,0.12,0.00165,0.4,1,2,0.6876443397462474
LSPIN,lspin_tf,0.15,0.014,0.0,0,1,0.8305533857534644
LSPIN,lspin_tf,0.15,0.014,0.0,0,2,0.8696513034566563
